well_id,top1_typewell,top1_corr,top2_typewell,top2_corr,top1_top2_gap,assigned_typewell_corr,assigned_typewell_rank,assigned_is_top1
000d7d20,000d7d20,0.7751006484031677,00e12e8b,0.7751006484031677,0.0,0.7751006484031677,1,True
00bbac68,2ab29395,0.8339685797691345,da2d4d7c,0.8223157525062561,0.011652827262878418,0.8110259175300598,27,False
00e12e8b,01869cd4,0.9389389157295227,389ae58f,0.9301982522010803,0.008740663528442383,0.9287785291671753,8,False
015fe0d2,2ab29395,0.8634763956069946,da2d4d7c,0.8608006238937378,0.002675771713256836,0.8574793934822083,27,False
01869cd4,000d7d20,0.7773083448410034,1d3fbf02,0.7773083448410034,0.0,0.7773083448410034,5,False
01982c1d,cb879f40,0.9359367489814758,8cc800b3,0.9354666471481323,0.00047010183334350586,0.9296069741249084,20,False
028d7b28,5b7b6324,0.9218619465827942,41fb0192,0.9196304082870483,0.0022315382957458496,0.9182626605033875,19,False
02e7fe5a,bc4381e2,0.8036077618598938,7993a768,0.8036077618598938,0.0,0.8036077618598938,10,False
0390d174,c472c0b5,0.9731026291847229,2fd68f7b,0.9731026291847229,0.0,0.9731026291847229,3,False
03a935ae,727a3a10,0.7676735520362854,03a935ae,0.7676735520362854,0.0,0.7676735520362854,2,False
044af7d1,bffe3082,0.8259674310684204,939d9c34,0.8253864645957947,0.0005809664726257324,0.8253864645957947,4,False
0498acab,1a730ac2,0.7133274674415588,3a86fe8d,0.7026055455207825,0.010721921920776367,0.6799662113189697,10,False
052d64df,516088b7,0.8673739433288574,052d64df,0.8661189079284668,0.001255035400390625,0.8661189079284668,2,False
05948241,404c4384,0.8639037013053894,9d3ec64c,0.8602217435836792,0.003681957721710205,0.8580292463302612,7,False
059c8f24,059c8f24,0.7623625993728638,a76db406,0.4366513192653656,0.32571128010749817,0.7623625993728638,1,True
05a0ee4d,bffe3082,0.7978008389472961,8612b37f,0.7834639549255371,0.014336884021759033,0.7608782052993774,12,False
060ab2b8,11d0f5ac,0.8395226001739502,9d5e14d4,0.8149424195289612,0.024580180644989014,0.8119048476219177,8,False
